numero_de_identificacao,nome_do_pais,continente,cidade_mais_populosa,populacao_do_pais,extensao_territorial_do_pais,pib,pib_per_capita
188
1,Estados Unidos,Americas,Nova York,339996564,9525067,26854.6,78984.9
2,China,Asia,Xangai,1425671352,9596961,19373.6,13589.1
3,Japao,Asia,Toquio,123294513,377975,4409.74,35765.9
4,Alemanha,Europa,Berlim,83294633,357114,4308.85,51730.3
5,India,Asia,Bombaim,1428627663,3287263,3736.88,2615.71
6,Reino Unido,Europa,Londres,67736802,242495,3158.94,46635.5
7,Franca,Europa,Paris,64756584,640679,2923.49,45145.8
8,Italia,Europa,Roma,58870763,301339,2169.75,36856.1
9,Canada,Americas,Toronto,38781292,9984670,2089.67,53883.5
10,Brasil,Americas,Sao Paulo,216422446,8515767,2081.24,9616.54
11,Russia,Europa,Moscou,144444359,17098246,2062.65,14279.9
12,Coreia do Sul,Asia,Seul,51784059,100210,1721.91,33251.7
13,Australia,Oceania,Sydney,26439112,7692024,1707.55,64584.2
14,Mexico,Americas,Cidade do Mexico,128455567,1964375,1663.16,12947.4
15,Espanha,Europa,Madrid,47519628,505992,1492.43,31406.6
16,Indonesia,Asia,Jacarta,277534123,1904569,1391.78,5014.8
17,Holanda,Europa,Amsterda,17618299,41850,1080.88,61349.9
18,Arabia Saudita,Asia,Riade,36947025,2149690,1061.9,28741.2
19,Turquia,Asia,Istambul,85816199,783562,1029.3,11994.3
20,Suica,Europa,Zurique,8796669,41284,869.601,98855.7
21,Polonia,Europa,Varsovia,41026068,312696,748.887,18253.9
22,Argentina,Americas,Buenos Aires,45773884,2780400,641.102,14005.8
23,Belgica,Europa,Bruxelas,11686140,30528,624.248,53417.8
24,Suecia,Europa,Estocolmo,10612086,450295,599.052,56450
25,Irlanda,Europa,Dublin,5056935,70273,594.095,117481
26,Tailandia,Asia,Bangkok,71801279,513120,574.231,7997.5
27,Noruega,Europa,Oslo,5474360,323802,554.105,101218
28,Israel,Asia,Jerusalem,9174520,20770,539.223,58774
29,Singapura,Asia,Singapura,6014723,716,515.548,85714.3
30,Austria,Europa,Viena,8958961,83871,515.199,57506.6
31,Nigeria,Africa,Lagos,223804632,923768,506.601,2263.59
32,Emirados Arabes Unidos,Asia,Dubai,9516871,83600,498.978,52430.9
33,Vietnam,Asia,Cidade de Ho Chi Minh,98858950,331212,449.094,4542.78
34,Malasia,Asia,Kuala Lumpur,34308525,330803,447.026,13029.6
35,Filipinas,Asia,Manila,117337368,300000,440.901,3757.55
36,Bangladesh,Asia,Daca,172954319,147570,420.516,2431.37
37,Dinamarca,Europa,Copenhague,5910913,43094,405.626,68623.2
38,Africa do Sul,Africa,Joanesburgo,60414495,1221037,399.015,6604.62
39,Egito,Africa,Cairo,112716599,1002450,378.11,3354.52
40,Paquistao,Asia,Carachi,240485658,907132,376.493,1565.55
41,Ira,Asia,Teera,89172767,1648195,367.97,4126.48
42,Chile,Americas,Santiago,19629590,756102,358.557,18266.1
43,Romenia,Europa,Bucareste,19892812,238397,348.902,17539.1
44,Colombia,Americas,Bogota,52085168,1141748,334.689,6425.8
45,Republica Tcheca,Europa,Praga,10495295,78865,330.483,31488.7
46,Finlandia,Europa,Helsinque,5545475,338424,301.67,54399.3
47,Peru,Americas,Lima,34352719,1285216,268.235,7808.26
48,Iraque,Asia,Bagda,45504560,438317,267.893,5887.17
49,Portugal,Europa,Lisboa,10247605,92090,267.721,26125.2
50,Nova Zelandia,Oceania,Auckland,5228100,262443,251.969,48195.1
51,Cazaquistao,Asia,Almaty,19606634,2724900,245.695,12531.2
52,Grecia,Europa,Atenas,10341277,131957,239.3,23140.3
53,Catar,Asia,Doha,2716391,11586,219.57,80831.5
54,Argelia,Africa,Argel,45606481,2381741,206.007,4517.06
55,Hungria,Europa,Budapeste,10156239,93028,188.505,18560.5
56,Kuwait,Asia,Kuwait,4310108,17818,164.713,38215.5
57,Etiopia,Africa,Adis Abeba,126527060,1104300,156.083,1233.59
58,Ucrania,Europa,Kiev,36744634,603500,148.712,4047.18
59,Marrocos,Africa,Casablanca,37840044,446550,138.781,3667.57
60,Eslovaquia,Europa,Bratislava,5795199,49037,127.533,22006.7
61,Equador,Americas,Guayaquil,18190484,276841,121.291,6667.83
62,Republica Dominicana,Americas,Santo Domingo,11332973,48671,121.289,10702.3
63,Afeganistao,Asia,Cabul,42239854,652230,120.01,2841.16
64,Quenia,Africa,Nairobi,55100587,580367,118.13,2143.9
65,Angola,Africa,Luanda,36684203,1246700,117.877,3213.29
66,Oma,Asia,Mascate,4644384,309500,104.902,22586.8
67,Guatemala,Americas,Cidade da Guatemala,18092026,108889,102.309,5654.92
68,Bulgaria,Europa,Sofia,6687717,111002,100.635,15047.7
69,Venezuela,Americas,Caracas,28838499,916445,96.628,3350.66
70,Uzbequistao,Asia,Tasquente,35163944,447400,92.332,2625.76
71,Luxemburgo,Europa,Luxemburgo,654768,2586,86.971,132827
72,Tanzania,Africa,Dar es Salaam,67438106,945087,85.421,1266.66
73,Turcomenistao,Asia,Asgabate,6516100,488100,82.649,12683.8
